Post_id,Comment_id,Text
31277483,31277775,"А рядом, в костюмчике, сидит правая рука Коломойского. И Боже упаси Зелёному шуту ,что то не то ляпнуть. 
))))"
31277483,31277781,"Я думаю пора страной заняться ,а не качать тему Украины закрыть дверь ,Донбасс в России !"
31277483,31277832,Залупенский! 😂😂😂
31277483,31277901,"Санкции против России а хреново Украине  вывод, лучше санкции чем помощь ,,свабодного запада,,"
31277483,31277948,
31277483,31277964,"Во как петушня кацапская раскудахтадась))скоро на плантации Китая рис собирать поедете,нация рабов"
31277483,31277969,Сам себе то верит
31277483,31277987,"Зеленский чешет проторенной дорожкой пэдро Порошенко, ну и результат будет такой же как у пэдро"
31277483,31277992,Лохи че хохлов обсуждаете ? Вон Прибалты давили и душили русских и прочих русскоязычных законами еще до того как это вна Украине это стало мейнстримом -))) Не позволяй подавать пример и все будет хорошо. Дядя Вова и ЕБН сильно лопухнулись на этот вчет.
31277483,31278053,"А когда минские соглашения будут соблюдены полностью? И вообще, какие извините территории? Крым законно перешел под крыло РФ, не знаю, какие еще тут могут быть разговоры."
31277483,31278074,Насрать на хохлов!  Я пошёл в отпуск!!! Ура!!!
31277483,31278078,Насчет войны с РФ - а че в Сумской области фронт не открыт?
31277483,31278112,Это у него номер новый такой грёбаный клоун санкции угробины против России смешно🤣🤣🤣
31277483,31278222,"У России -санкции , а что от этого  Зеленский  поимеет ?Проблем на пять лет !"
31277483,31278281,Новоиспечённый украинский правитель первым делом запустил бумеранг в сторону России.
31277483,31278848,Все опять завербовали ещё одного !
31277483,31279046,Зелень про Крым забудь!!!!
31277483,31279163,"Санкции против России ничего не принесут Украине. Им бы возобновить полноценное сотрудничество с нами, а не фигней заниматься"
31277483,31279207,
31277483,31279669,"Если я правильно понял, то получается, что санкции против России вводятся по команде Зеленского?"
31277483,31281120,"Если Зеленский не поставит своей целью объединить общество, то страна продолжит свой развал. Если же он попытается власть реально взять в свои руки, в интересах народа, то высока вероятность, что руки олигархов его ликвидируют. Он не камикадзе. Поэтому вероятнее всего Зеленский будет просто плыть по течению, которое происходит сейчас. ☝"
31277483,31281872,"я надеялась, что он умнее предшественников"
31277483,31283640,
31268843,31268846,Нам плевать на санкции
31268843,31268849,"Педро номер два😂😂😂
От него разве этого ждали 73 % избирателей.
А войну то когда нам Зеленский объявил😂😂😂"
31268843,31268861,..он пошутил..
31268843,31268866,"С точки зрения Украины, как страны вроде и правильно, но вот эти санкции в ответку прилетят в первую очередь по ним, т.к. гривна держится за рубль за счет объемов торговли. Упадет рубль, гривна рухнет. Это как лампочку засунуть в рот, а цоколь врагу отдать."
31268843,31268869,Галя из Запорожья оказалась троллем из Киева
31268843,31268874,а зима то не за горами:))
31268843,31268884,А в конце станцевал и спел))
31268843,31268897,"Да и фиг с ним,я спать пошел..."
31268843,31268901,О Господи....и этот Галустян туда жи....им по ходу в кайф когда грабли по лбу бьют.😏🚑 ну синдром укропитеков передаётся по наследству чтоль???
31268843,31268909,
31268843,31268910,Дурачок
31268843,31268913,"НАДО ВООБЩЕ ВСЕ ЗЕМЛИ У УКРАИНЫ ОТОБРАТЬ, ОНИ ИСТОРИЧЕСКИ ПРИНАДЛЕЖАТ РОССИИ И ПРИСОЕДИНЕНЫ К НЕЙ В РАЗНЫЕ ЭПОХИ ...!!! НИЧЕГО У УКРАИНЫ НЕТ, ОНА ГОЛОДРАНКА ...!!! ТОТ ЖЕ КИЕВ ВЫКУПЛЕН БЫЛ РАНЕЕ У РЕЧИ ПОСПОЛИТОЙ ( ПОЛЬШИ ) ...!!!"
31268843,31268915,"Как будто он, мог что-то иное сказать"
31268843,31268920,Ему что ли некому объяснить что санкции против России дело бесполезное и вредит Украине наверное больше чем России.
31268843,31268936,"Блин, всё у украинских правителей направляется против России, а на Украину им по ходу наплевать."
31268843,31268948,
31268843,31268950,Да чего об этом писать? Все очевидно и уже даже не интересно😏
31268843,31268968,"Этот ушлепок ещё до должности был русофобом. А наши прокатчики, дерьмовые фильмы с его участием крутили."
31268843,31268975,Та же басня
31268843,31268979,Рядом с Вованчиком= реинкарнация молодого Чин-Гиз= Хана... Копия !!!!!!!
31268843,31269019,
31268843,31269038,"И пусть свой дэбильный сериал ""Сваты"" заберёт к себе в  #страна404"
31268843,31269058,"+++ Россия отпустила не пожелавшую быть в составе СССР Украину с миром и без претензий. А вот Украина не хочет отпускать с миром тех, кто не желает быть в ее составе. Отсюда все проблемы. 
 
России надо ввести санкции для Украины до возврата ее обратно в Россию."
31268843,31269071,.. и несет сокрушительные потери на обоих фронтах..
31268843,31269091,
31268843,31269114,А какое образование у мужика .
31268843,31269138,
31268843,31269171,Не зря актёра выбрали украинцы. Петя переигрывал.
31268843,31269198,
31268843,31269209,Его лицо быстро обретает землистый оттенок гибнущего человека.
31268843,31269271,"Даешь больше санкций, они нам только на пользу."
31268843,31269298,"хохляндия как пример, нет братских народов, есть население поведение которого определяется тем у кого поводок."
31268843,31269339,"Не вышел из амплуа просто , всё юморит и юморит, весельчак."
31268843,31269342,"Только безмозглый  кремлебот мог допустить мысль, в своей звенящей пустотой тыковке  , что во власти Зеленского   их отменить😆
При всём  при том-  что путин не сделал ни хрена, чтобы Зеленский хотя бы мог ,как-то корректно изловчиться ( не опасаясь того-что  его свои же и порвут) и инициировать в обществе обсуждения по их отмене.  🍀"
31268843,31269430,"Рейтинг Зеленского , я предполагаю , будет падать и очень быстро . И это именно будет показателем его правильного пути : Украина сейчас нуждается в срочной реанимации , а это всегда больно и страшно . Иначе им страну не спасти .

По-моему , Зеленский прекрасно это понимает , он пришел во власть не за славой или баблом / у него всё это есть / он пришел спасать Украину .
Удачи тебе , Зе !"
31268843,31269435,Какие могут быть санкции от нищей и убогой украинской папуасии? 🤣🤣🤣
31268843,31269695,"Зеленский скоморох,"
31268843,31269731,передайте володьке)от петьки остались))дососет
31268843,31269742,Зеленский продолжит путь против России 100%. Потому что темнейший ведёт грязную игру
31268843,31269847,"Не тот путь Зеленский! Смени курс и начинай переговоры с россией.
Украину используют для борьбы с нами и хотят нас столкнуть.Как говорят в одессе не держите меня за дурака.можно и нужно обо всем договориться"
31268843,31269943,"Нациков испугался актеришко! Так кто у вас там страной то управляет,кучка фашиствующих личностей?"
31268843,31270114,"А с какой стати он должен быть против санкций? Все логично. Другое дело, что урапатриоты с головой не дружат"
31268843,31270931,"Он за это ""зарплату"" получает.😬🙈😂
Пример проституции."
31268843,31271014,Озвучил....🤣
31268843,31271394,"много балаболит балаболка, думаю долго не протянет."
31268843,31273849,"Кино ""Слуга народа"", ещё не одну серию увидим. 😊😊😊"
31268843,31276821,Ничего не изменилось! Хохлы кого вы избрали? У вас там здравомыслящие люди есть?
31268843,31278858,Нахрена было менять одного обдолбленного долб. на другого клоуна?
31267131,31267162,Украину никакие санкции в отношении России не спасут от её собственного идиотизма.
31267131,31267166,"Видимо в Раде еще не поняли, что без торговли с Россией их страна планомерно загибается. А Запад одними обещаниями их кормит."
31267131,31267167,"Зачем обращать внимание на этих ущербных, Крым наш и надо жить и радоваться жизнью дальше😊"
31267131,31267176,Че там комментировать дурак у руля
31267131,31267193,Над клоуном ржать надо а не комментировать.
31267131,31267196,
31267131,31267239,Нашему МИДу меньше надо обращать внимания...
31267131,31267276,Понаберут в президенты ПТУшников )))))
31267131,31267307,😆😆😆😆
31267131,31267392,
31267131,31267400,"Порошенко 2 этот Зеленский. Что скажет Госдеп, то и будет подхрюкивать."
31267131,31267406,"А что тут скажешь? Украина сама виновата в большинстве своих бед. Люди понадеялись на Зеленского, что он кардинально изменит политический курс, но он, похоже, недалеко от Порошенко ушел."
31267131,31267500,Это не Зеленский  а абсолютно  зеленый!!
31267131,31267714,о как козломордых карежить😂😂
31267131,31267737,
31267131,31268072,"Тот же порошенко,только мелкий и вертлявый))"
31267131,31268464,
31265373,31265384,Я думал у него мозгов побольше чем у парашенки
31265373,31265385,"Не Зеленский, а Коломойский. 
Не путайте мне тут."
31265373,31265387,"И что😳
Украина это:"
31265373,31265391,"Зеленский красавчик, правильно делает. 👍🏻👍🏻👍🏻"
31265373,31265395,Поh...
31265373,31265411,"Нужно по другому посчитать,как ВЦИОМ))Как же я ору)))))
Рейтинг Путина поднялся до 72% по новой методике ВЦИОМа"
31265373,31265414,Какие санкции против России могут быть у жалкой и нищей украинской папуасии? 🤣🤣🤣
31265373,31265417,Вот и показал Иуда своё истинное лицо.
31265373,31265421,"России надо вводить санкции в ответ на зарубежные только против Украины. Вот когда вислоухие заткнутся про санкции для России, можно начинать с ними переговоры."
31265373,31265423,
31265373,31265432,"ТАК МЫ ЕЩЁ ЖЕ НЕ ПРИЗНАЛИ , ПО - МОЕМУ , ДА И ДОГОВОР О ДРУЖБЕ РАСТОРГЛИ ОНИ , так что у нас свобода действий , обожаю сюрпризы от Путина!"
31265373,31265441,"Ха ха ха , ясно тут территория ботов"
31265373,31265446,
31265373,31265453,"И как  сказал один политолог :""ни Россия, ни Украина на эту войну не явились"""
31265373,31265463,"Шило на мыло хохлы поменяли. Ждём очередную ""гоньбу""."
31265373,31265477,Комментарии своих ботов почему-то не удаляете
31265373,31265492,клоун волонтер закидал заявлениями)
31265373,31265499,И этот туда же
31265373,31265508,Мова - голова бредова..
31265373,31265518,Заебли. Эти игры.
31265373,31265533,Короче никуя не изменится
31265373,31265541,"У чела 2 (!) фронта....на первый не явилась РФ, а на второй сама 404"
31265373,31265542,Война с Россией 🤣🤣🤣
31265373,31265585,"Говорит что угодно, однако должен сам понимать, что из-за их собственных санкций , Украина потеряла миллиарды, перестав вести с нами торговлю. Так что желаю удачи в поднятии экономики)"
31265373,31265608,
31265373,31265617,"Да плевать что у них там.  У меня вопрос другой, где статьи про что творится в Архангельской области на станции Шиес на стройке под свалку из Москвы и Московской области. Почему все наши СМИ молчат"
